date,district,latitude,longitude
09/15/2017,1,42.380985,-83.191962
09/16/2017,2,42.40435,-83.162673
09/16/2017,2,42.405062,-83.168755
09/18/2017,7,42.373476,-83.209992
09/18/2017,7,42.374445,-83.209334
09/15/2017,4,42.409013,-82.984128
09/18/2017,1,42.380885,-83.191536
09/18/2017,1,42.38254,-83.190998
09/18/2017,2,42.403447,-83.168081
09/18/2017,2,42.404734,-83.162688
09/15/2017,2,42.412385,-83.167349
09/18/2017,5,42.365554,-82.99431
09/18/2017,5,42.372387,-82.989481
09/18/2017,5,42.366632,-82.993448
09/19/2017,1,42.38232,-83.190989
09/19/2017,1,42.385915,-83.191112
09/19/2017,2,42.405004,-83.163355
09/19/2017,2,42.429866,-83.214089
09/18/2017,1,42.428643,-83.247128
04/12/2016,3,42.434635,-83.06289
09/19/2017,3,42.444705,-83.001064
09/18/2017,6,42.335789,-83.141205
09/19/2017,5,42.368336,-82.989254
09/20/2017,4,42.403019,-82.993254
09/19/2017,7,42.373318,-83.209306
09/20/2017,4,42.40544,-82.987798
09/19/2017,4,42.408972,-82.984246
09/20/2017,1,42.383649,-83.192056
09/20/2017,1,42.391848,-83.1877
09/20/2017,1,42.392794,-83.191798
09/15/2017,2,42.395581,-83.177428
09/15/2017,2,42.396623,-83.178084
09/20/2017,2,42.398219,-83.162337
09/18/2017,2,42.398319,-83.162994
09/15/2017,2,42.397658,-83.17813
09/18/2017,2,42.398391,-83.164078
09/20/2017,2,42.398699,-83.162361
09/18/2017,2,42.398794,-83.162366
09/15/2017,2,42.398189,-83.176008
09/18/2017,2,42.398891,-83.162369
09/18/2017,2,42.398967,-83.164105
09/18/2017,2,42.399175,-83.163435
09/18/2017,2,42.399159,-83.164114
09/18/2017,2,42.399271,-83.163439
09/18/2017,2,42.4006,-83.162455
09/20/2017,2,42.406272,-83.165651
09/20/2017,3,42.439935,-83.03128
09/20/2017,3,42.444616,-83.026225
09/20/2017,5,42.372912,-82.984295
