date,district,latitude,longitude
10/12/2017,1,42.393328,-83.231589
11/19/2017,3,42.448709,-82.998671
10/31/2017,6,42.308771,-83.123713
11/19/2017,5,42.380765,-83.124372
11/14/2017,6,42.307457,-83.134363
11/19/2017,3,42.448705,-82.998871
10/08/2017,7,42.377996,-83.202049
10/12/2017,1,42.436221,-83.259491
09/22/2017,6,42.35462,-83.13112
10/31/2017,6,42.333309,-83.105255
10/31/2017,7,42.360871,-83.165713
10/12/2017,2,42.438815,-83.215092
11/26/2017,4,42.41257,-82.920503
11/19/2017,7,42.384572,-83.166121
11/13/2017,7,42.387652,-83.159789
11/19/2017,3,42.439068,-82.975999
11/13/2017,4,42.420962,-82.970378
11/06/2017,4,42.375292,-82.942939
11/26/2017,4,42.410272,-82.96422
11/13/2017,7,42.396426,-83.160127
11/19/2017,7,42.38386,-83.16995
11/13/2017,7,42.364583,-83.19328
11/14/2017,3,42.391853,-83.008712
11/26/2017,5,42.380922,-83.001342
11/26/2017,5,42.381095,-83.000894
11/26/2017,5,42.380181,-83.000831
11/26/2017,5,42.38028,-83.000317
11/26/2017,5,42.380207,-83.000265
11/19/2017,3,42.440458,-83.000368
11/19/2017,3,42.440348,-83.000363
10/31/2017,6,42.273453,-83.153821
11/26/2017,4,42.407606,-82.965688
11/26/2017,4,42.406941,-82.965255
11/13/2017,2,42.398081,-83.1602
11/26/2017,4,42.414175,-82.969858
11/09/2017,7,42.377074,-83.209423
11/13/2017,7,42.373135,-83.199122
11/13/2017,7,42.373147,-83.198414
11/26/2017,4,42.412851,-82.968921
11/26/2017,4,42.41289,-82.964388
12/19/2017,2,42.398248,-83.178156
12/19/2017,2,42.396145,-83.178063
10/24/2017,3,42.443466,-83.094256
10/24/2017,3,42.440712,-83.094167
09/28/2017,4,42.39184,-82.943634
10/12/2017,4,42.392852,-82.937713
11/01/2017,1,42.395218,-83.185509
10/29/2017,2,42.400565,-83.179804
10/29/2017,2,42.402463,-83.182633
11/13/2017,4,42.416554,-82.971376
11/14/2017,5,42.386699,-83.016247
11/09/2017,1,42.400097,-83.255106
11/26/2017,4,42.407558,-82.964637
10/31/2017,5,42.353707,-83.095144
10/31/2017,5,42.364253,-83.12528
10/12/2017,6,42.307093,-83.112199
11/14/2017,7,42.341936,-83.201421
09/26/2017,4,42.388986,-82.947393
11/26/2017,4,42.419122,-82.936929
11/13/2017,7,42.381137,-83.131688
10/31/2017,7,42.381954,-83.129486
10/31/2017,7,42.38227,-83.128657
10/31/2017,7,42.382316,-83.128533
10/31/2017,7,42.382661,-83.127607
10/31/2017,7,42.382809,-83.127211
11/26/2017,3,42.406287,-83.072629
11/13/2017,7,42.370596,-83.138037
11/13/2017,7,42.378187,-83.135567
11/13/2017,7,42.378274,-83.135626
10/31/2017,7,42.381614,-83.127083
10/31/2017,7,42.381465,-83.127479
11/13/2017,7,42.377221,-83.137283
11/19/2017,2,42.431202,-83.103113
10/31/2017,6,42.349515,-83.096376
10/31/2017,5,42.381906,-83.123994
11/19/2017,2,42.402508,-83.137291
10/31/2017,7,42.380698,-83.126351
11/26/2017,3,42.431836,-83.088595
10/31/2017,6,42.342936,-83.122856
11/26/2017,3,42.422436,-83.082768
10/31/2017,5,42.385594,-83.109698
10/31/2017,5,42.35388,-83.096416
10/31/2017,6,42.332453,-83.0946
11/26/2017,3,42.426631,-83.087849
10/31/2017,5,42.386812,-83.110684
11/19/2017,3,42.428255,-83.039122
10/31/2017,7,42.371763,-83.116948
10/31/2017,5,42.38756,-83.110951
10/31/2017,5,42.385994,-83.11395
11/19/2017,3,42.429579,-83.032309
10/31/2017,5,42.385639,-83.116106
11/13/2017,7,42.378,-83.134943
11/26/2017,3,42.433153,-83.090404
10/31/2017,5,42.382789,-83.117196
11/26/2017,3,42.407486,-83.072823
11/26/2017,2,42.433301,-83.105955
11/26/2017,3,42.431207,-83.087339
11/13/2017,4,42.375263,-82.988326
11/26/2017,4,42.412808,-82.968015
11/26/2017,4,42.412832,-82.968533
