Address,Parcel ID,Contractor Name,Price,Projected Demolished By Date,Commercial Building,Council_District,Latitude,Longitude,Location,Neighborhood
19319 Lyndon,22009878-9,Able Demolition,$13579.45,10/12/2017,No,1,42.393328,-83.231589,"location
(42.393328, -83.231589)",Westwood Park
12406 E Eight Mile,21028395-8,Dore & Associates,$24000.00,11/19/2017,Yes,3,42.448709,-82.998671,"location
(42.448709, -82.998671)",Conner Creek
1668 Evans,20006666.,DMC Consultants,$15300.00,10/31/2017,No,6,42.308771,-83.123713,"location
(42.308771, -83.123713)",Springwells
11814 Dexter,12010508.,Able Demolition,$54474.35,11/19/2017,Yes,5,42.380765,-83.124372,"location
(42.380765, -83.124372)",Dexter-Linwood
2014 Sharon,20008112.,Blue Star,$16400.00,11/14/2017,No,6,42.307457,-83.134363,"location
(42.307457, -83.134363)",Springwells
12400 E Eight Mile,21028399.,Dore & Associates,$29000.00,11/19/2017,Yes,3,42.448705,-82.998871,"location
(42.448705, -82.998871)",Conner Creek
15810 Capitol,22055839-56,Smalley,$55000.00,10/08/2017,Yes,7,42.377996,-83.202049,"location
(42.377996, -83.202049)",Plymouth-I96
19818 Cooley,22115287.002L,Able Demolition,$12910.63,10/12/2017,No,1,42.436221,-83.259491,"location
(42.436221, -83.259491)",Berg-Lahser
5855 Vancouver,16014814.,Den-Man Contractors,$24400.00,09/22/2017,Yes,6,42.35462,-83.13112,"location
(42.35462, -83.13112)",Midwest
4403 Magnolia,14000754.,DMC Consultants,$22189.50,10/31/2017,No,6,42.333309,-83.105255,"location
(42.333309, -83.105255)",Chadsey Condon
8945 Pinehurst,18017755.,DMC Consultants,$15235.00,10/31/2017,No,7,42.360871,-83.165713,"location
(42.360871, -83.165713)",Barton-McFarland
19967 Lindsay,22067071.,Able Demolition,$14932.85,10/12/2017,No,2,42.438815,-83.215092,"location
(42.438815, -83.215092)",Greenfield
5261 Radnor,21078419.,Homrich,$11355.00,11/26/2017,No,4,42.41257,-82.920503,"location
(42.41257, -82.920503)",Cornerstone Village
13174 Monte Vista,16044523.,Rickman Enterprise Group,$29221.79,11/19/2017,No,7,42.384572,-83.166121,"location
(42.384572, -83.166121)",Grand River-I96
