Address,Parcel ID,Contractor Name,Price,Demolition Date,Commercial Building,Council_District,Latitude,Longitude,Location,Neighborhood
12666 Robson,22043549.,Able Demolition,$13276.45,09/15/2017,No,1,42.380985,-83.191962,"12666 Robson
(42.380985, -83.191962)",Schoolcraft Southfield
15400 Griggs,16041115.,DMC Consultants,$15473.25,09/16/2017,No,2,42.40435,-83.162673,"15400 Griggs
(42.40435, -83.162673)",Bethune Community
15467 Manor,16045733.,DMC Consultants,$14554.20,09/16/2017,No,2,42.405062,-83.168755,"15467 Manor
(42.405062, -83.168755)",Bethune Community
11669 Grandmont,22065077.,Gayanga Co,$13217.92,09/18/2017,No,7,42.373476,-83.209992,"11669 Grandmont
(42.373476, -83.209992)",Plymouth-I96
11740 Grandmont,22064757.,Gayanga Co,$12076.44,09/18/2017,No,7,42.374445,-83.209334,"11740 Grandmont
(42.374445, -83.209334)",Plymouth-I96
12352 Promenade,21008852.,Den-Man Contractors,$20953.00,09/15/2017,No,4,42.409013,-82.984128,"12352 Promenade
(42.409013, -82.984128)",Wade
12661 Terry,22043184.,Able Demolition,$12690.65,09/18/2017,No,1,42.380885,-83.191536,"12661 Terry
(42.380885, -83.191536)",Schoolcraft Southfield
12806 Terry,22042899.,Able Demolition,$13154.14,09/18/2017,No,1,42.38254,-83.190998,"12806 Terry
(42.38254, -83.190998)",Schoolcraft Southfield
15368 Manor,16045333.,DMC Consultants,$15913.60,09/18/2017,No,2,42.403447,-83.168081,"15368 Manor
(42.403447, -83.168081)",Bethune Community
15430 Griggs,16041119.,DMC Consultants,$18428.00,09/18/2017,No,2,42.404734,-83.162688,"15430 Griggs
(42.404734, -83.162688)",Bethune Community
16522 James Couzens,16038809.,Den-Man Contractors,$19840.00,09/15/2017,Yes,2,42.412385,-83.167349,"16522 James
(42.412385, -83.167349)",Fitzgerald/Marygrove
2646 Crane,19009659.,Rickman Enterprise Group,$17328.44,09/18/2017,No,5,42.365554,-82.99431,"2646 Crane
(42.365554, -82.99431)",East Village
3466 Cadillac,19004977.,Rickman Enterprise Group,$19048.24,09/18/2017,No,5,42.372387,-82.989481,"3466 Cadillac
(42.372387, -82.989481)",East Village
8921 Charlevoix,19000504.,Rickman Enterprise Group,$14521.74,09/18/2017,No,5,42.366632,-82.993448,"8921 Charlevoix
(42.366632, -82.993448)",East Village
12762 Terry,22042898.033,Able Demolition,$13741.05,09/19/2017,No,1,42.38232,-83.190989,"12762 Terry
(42.38232, -83.190989)",Schoolcraft Southfield
13334 Terry,22042928.,Able Demolition,$18912.25,09/19/2017,No,1,42.385915,-83.191112,"13334 Terry
(42.385915, -83.191112)",Schoolcraft Southfield
15453 Griggs,16041637.,DMC Consultants,$16635.90,09/19/2017,No,2,42.405004,-83.163355,"15453 Griggs
(42.405004, -83.163355)",Bethune Community
17301 W Seven Mile,22016284-7,DMC Consultants,$42924.00,09/19/2017,Yes,2,42.429866,-83.214089,"17301 W Seven
(42.429866, -83.214089)",College Park
19020 Pierson,22106676.,Den-Man Contractors,$14020.00,09/18/2017,No,1,42.428643,-83.247128,"19020 Pierson
(42.428643, -83.247128)",Holcomb Community
19202 RYAN,13020584.,Rickman Enterprise Group,$8550.00,04/12/2016,No,3,42.434635,-83.06289,"19202 RYAN
(42.434635, -83.06289)",Farwell
20074 Bradford,21035124.,Blue Star,$11400.00,09/19/2017,No,3,42.444705,-83.001064,"20074 Bradford
(42.444705, -83.001064)",Conner Creek
5623 Central,20004815.,Den-Man Contractors,$17710.00,09/18/2017,No,6,42.335789,-83.141205,"5623 Central
(42.335789, -83.141205)",Claytown
9397 Charlevoix,19000523.,Rickman Enterprise Group,$13233.46,09/19/2017,No,5,42.368336,-82.989254,"9397 Charlevoix
(42.368336, -82.989254)",East Village
10967 Longview,21007651.,Rickman Enterprise Group,$13846.58,09/20/2017,No,4,42.403019,-82.993254,"10967 Longview
(42.403019, -82.993254)",Wade
11654 Grandmont,22064745-6,Gayanga Co,$11719.27,09/19/2017,No,7,42.373318,-83.209306,"11654 Grandmont
(42.373318, -83.209306)",Plymouth-I96
12032 Chelsea,21007988.,Rickman Enterprise Group,$14721.66,09/20/2017,No,4,42.40544,-82.987798,"12032 Chelsea
(42.40544, -82.987798)",Wade
12344 Promenade,21008853.,Den-Man Contractors,$13218.00,09/19/2017,No,4,42.408972,-82.984246,"12344 Promenade
(42.408972, -82.984246)",Wade
12888 Robson,22043572.,Able Demolition,$28315.35,09/20/2017,No,1,42.383649,-83.192056,"12888 Robson
(42.383649, -83.192056)",Schoolcraft Southfield
14255 Strathmoor,22038448.,Able Demolition,$17498.25,09/20/2017,No,1,42.391848,-83.1877,"14255 Strathmoor
(42.391848, -83.1877)",Hubbell-Lyndon
14333 Terry,22043088.,Able Demolition,$23709.75,09/20/2017,No,1,42.392794,-83.191798,"14333 Terry
(42.392794, -83.191798)",Hubbell-Lyndon
14544 Hartwell,22028614.,"Adamo Group, Inc.",$12467.00,09/15/2017,No,2,42.395581,-83.177428,"14544 Hartwell
(42.395581, -83.177428)",Bethune Community
14621 Hartwell,22029257.,"Adamo Group, Inc.",$10727.00,09/15/2017,No,2,42.396623,-83.178084,"14621 Hartwell
(42.396623, -83.178084)",Bethune Community
14818 Griggs,16041062.,"Adamo Group, Inc.",$11309.00,09/20/2017,No,2,42.398219,-83.162337,"14818 Griggs
(42.398219, -83.162337)",Bethune Community
14825 Griggs,16041696.,"Adamo Group, Inc.",$12908.00,09/18/2017,No,2,42.398319,-83.162994,"14825 Griggs
(42.398319, -83.162994)",Bethune Community
